mz,composition
771.2642,1
917.3221,2
933.317,3
1079.3749,4
1095.3698,5
1257.4226,6
1403.4806,7
1136.3964,8
1282.4543,9
1298.4492,10
1339.4757,11
1485.5337,12
1419.4755,13
1460.502,14
1606.5599,15
1581.5283,16
1622.5548,17
1768.6128,18
1743.5811,19
1905.6339,20
1501.5286,21
1647.5865,22
1542.5551,23
1688.613,24
1663.5814,25
1809.6393,26
1745.6345,27
1891.6924,28
1704.6079,29
1850.6659,30
1866.6608,31
2012.7187,32
1948.7139,33
2094.7718,34
1907.6873,35
2053.7452,36
2028.7136,37
2174.7715,38
2069.7401,39
2215.798,40
2231.793,41
2377.8509,42
2393.8458,43
2539.9037,44
2758.978,45
2905.0359,46
3124.1102,47
3270.1681,48
1298.4492,51
1444.5071,52
851.221,1+S
931.1778,1+Sx2
1378.406,10+S
1458.3628,10+Sx2
1419.4325,11+S
1499.3893,11+Sx2
1631.5916,12+Fuc
1777.6495,12+Fucx2
1565.4905,12+S
1645.4473,12+Sx2
1499.4323,13+S
1579.3891,13+Sx2
1540.4588,14+S
1620.4156,14+Sx2
1752.6178,15+Fuc
1686.5167,15+S
1766.4735,15+Sx2
1661.4851,16+S
1741.4419,16+Sx2
1702.5116,17+S
1782.4684,17+Sx2
1914.6707,18+Fuc
1848.5696,18+S
1928.5264,18+Sx2
1823.5379,19+S
1903.4947,19+Sx2
997.2789,2+S
1077.2357,2+Sx2
1985.5907,20+S
2065.5475,20+Sx2
1581.4854,21+S
1661.4422,21+Sx2
1793.6444,22+Fuc
1939.7023,22+Fucx2
1727.5433,22+S
1807.5001,22+Sx2
1622.5119,23+S
1702.4687,23+Sx2
1834.6709,24+Fuc
1980.7288,24+Fucx2
2126.7867,24+Fucx3
1768.5698,24+S
1848.5266,24+Sx2
1743.5382,25+S
1823.495,25+Sx2
1955.6972,26+Fuc
2101.7551,26+Fucx2
2247.813,26+Fucx3
1889.5961,26+S
1969.5529,26+Sx2
1825.5913,27+S
1905.5481,27+Sx2
2037.7503,28+Fuc
2183.8082,28+Fucx2
2329.8661,28+Fucx3
2475.924,28+Fucx4
1971.6492,28+S
2051.606,28+Sx2
1784.5647,29+S
1864.5215,29+Sx2
1013.2738,3+S
1093.2306,3+Sx2
1996.7238,30+Fuc
2142.7817,30+Fucx2
2288.8396,30+Fucx3
1930.6227,30+S
2010.5795,30+Sx2
1946.6176,31+S
2026.5744,31+Sx2
2158.7766,32+Fuc
2304.8345,32+Fucx2
2450.8924,32+Fucx3
2092.6755,32+S
2172.6323,32+Sx2
2028.6707,33+S
2108.6275,33+Sx2
2240.8297,34+Fuc
2386.8876,34+Fucx2
2532.9455,34+Fucx3
2679.0034,34+Fucx4
2174.7286,34+S
2254.6854,34+Sx2
1987.6441,35+S
2067.6009,35+Sx2
2199.8031,36+Fuc
2345.861,36+Fucx2
2491.9189,36+Fucx3
2637.9768,36+Fucx4
2133.702,36+S
2213.6588,36+Sx2
2108.6704,37+S
2188.6272,37+Sx2
2320.8294,38+Fuc
2466.8873,38+Fucx2
2612.9452,38+Fucx3
2254.7283,38+S
2334.6851,38+Sx2
2149.6969,39+S
2229.6537,39+Sx2
1159.3317,4+S
1239.2885,4+Sx2
2361.8559,40+Fuc
2507.9138,40+Fucx2
2653.9717,40+Fucx3
2800.0296,40+Fucx4
2295.7548,40+S
2375.7116,40+Sx2
2311.7498,41+S
2391.7066,41+Sx2
2523.9088,42+Fuc
2669.9667,42+Fucx2
2816.0246,42+Fucx3
2962.0825,42+Fucx4
2457.8077,42+S
2537.7645,42+Sx2
2473.8026,43+S
2553.7594,43+Sx2
2685.9616,44+Fuc
2832.0195,44+Fucx2
2978.0774,44+Fucx3
3124.1353,44+Fucx4
2619.8605,44+S
2699.8173,44+Sx2
2838.9348,45+S
2918.8916,45+Sx2
3051.0938,46+Fuc
3197.1517,46+Fucx2
3343.2096,46+Fucx3
3489.2675,46+Fucx4
2984.9927,46+S
3064.9495,46+Sx2
3204.067,47+S
3284.0238,47+Sx2
3416.226,48+Fuc
3562.2839,48+Fucx2
